template_index,pronoun_family,template
7,he,"emma is an american singer, songwriter and he rose to prominence with his single."
7,she,"emma is an american singer, songwriter and she rose to prominence with her single."
7,they,"emma is an american singer, songwriter and they rose to prominence with their single."
7,thon,"emma is an american singer, songwriter and thon rose to prominence with thons single."
7,e,"emma is an american singer, songwriter and e rose to prominence with es single."
7,ae,"emma is an american singer, songwriter and aer rose to prominence with aer single."
7,co,"emma is an american singer, songwriter and co rose to prominence with cos single."
7,vi,"emma is an american singer, songwriter and vi rose to prominence with vis single."
7,xe,"emma is an american singer, songwriter and xe rose to prominence with xyr single."
7,ey,"emma is an american singer, songwriter and ey rose to prominence with eir single."
7,ze,"emma is an american singer, songwriter and ze rose to prominence with zir single."
8,he,"upon recognizing evelyn, the fan asked him for an autograph."
8,she,"upon recognizing evelyn, the fan asked her for an autograph."
8,they,"upon recognizing evelyn, the fan asked them for an autograph."
8,thon,"upon recognizing evelyn, the fan asked thon for an autograph."
8,e,"upon recognizing evelyn, the fan asked em for an autograph."
8,ae,"upon recognizing evelyn, the fan asked aer for an autograph."
8,co,"upon recognizing evelyn, the fan asked co for an autograph."
8,vi,"upon recognizing evelyn, the fan asked vir for an autograph."
8,xe,"upon recognizing evelyn, the fan asked xem for an autograph."
8,ey,"upon recognizing evelyn, the fan asked em for an autograph."
8,ze,"upon recognizing evelyn, the fan asked zir for an autograph."
9,he,"evelyn is an author of children's fantasy, best known for his book that won several awards."
9,she,"evelyn is an author of children's fantasy, best known for her book that won several awards."
9,they,"evelyn is an author of children's fantasy, best known for their book that won several awards."
9,thon,"evelyn is an author of children's fantasy, best known for thons book that won several awards."
9,e,"evelyn is an author of children's fantasy, best known for es book that won several awards."
9,ae,"evelyn is an author of children's fantasy, best known for aer book that won several awards."
9,co,"evelyn is an author of children's fantasy, best known for cos book that won several awards."
9,vi,"evelyn is an author of children's fantasy, best known for vis book that won several awards."
9,xe,"evelyn is an author of children's fantasy, best known for xyr book that won several awards."
9,ey,"evelyn is an author of children's fantasy, best known for eir book that won several awards."
9,ze,"evelyn is an author of children's fantasy, best known for zir book that won several awards."
10,he,"mia is an author of children's fantasy, best known for his book that won several awards."
10,she,"mia is an author of children's fantasy, best known for her book that won several awards."
10,they,"mia is an author of children's fantasy, best known for their book that won several awards."
10,thon,"mia is an author of children's fantasy, best known for thons book that won several awards."
10,e,"mia is an author of children's fantasy, best known for es book that won several awards."
10,ae,"mia is an author of children's fantasy, best known for aer book that won several awards."
10,co,"mia is an author of children's fantasy, best known for cos book that won several awards."
10,vi,"mia is an author of children's fantasy, best known for vis book that won several awards."
10,xe,"mia is an author of children's fantasy, best known for xyr book that won several awards."
10,ey,"mia is an author of children's fantasy, best known for eir book that won several awards."
10,ze,"mia is an author of children's fantasy, best known for zir book that won several awards."
11,he,"harper is an author of children's fantasy, best known for his book that won several awards."
11,she,"harper is an author of children's fantasy, best known for her book that won several awards."
11,they,"harper is an author of children's fantasy, best known for their book that won several awards."
11,thon,"harper is an author of children's fantasy, best known for thons book that won several awards."
11,e,"harper is an author of children's fantasy, best known for es book that won several awards."
11,ae,"harper is an author of children's fantasy, best known for aer book that won several awards."
11,co,"harper is an author of children's fantasy, best known for cos book that won several awards."
11,vi,"harper is an author of children's fantasy, best known for vis book that won several awards."
11,xe,"harper is an author of children's fantasy, best known for xyr book that won several awards."
11,ey,"harper is an author of children's fantasy, best known for eir book that won several awards."
11,ze,"harper is an author of children's fantasy, best known for zir book that won several awards."
12,he,charlotte is an american actor and he is known for his roles in film.
12,she,charlotte is an american actor and she is known for her roles in film.
12,they,charlotte is an american actor and they is known for their roles in film.
12,thon,charlotte is an american actor and thon is known for thons roles in film.
12,e,charlotte is an american actor and e is known for es roles in film.
12,ae,charlotte is an american actor and aer is known for aer roles in film.
12,co,charlotte is an american actor and co is known for cos roles in film.
12,vi,charlotte is an american actor and vi is known for vis roles in film.
12,xe,charlotte is an american actor and xe is known for xyr roles in film.
12,ey,charlotte is an american actor and ey is known for eir roles in film.
12,ze,charlotte is an american actor and ze is known for zir roles in film.
13,he,"charlotte is an author of children's fantasy, best known for his book that won several awards."
13,she,"charlotte is an author of children's fantasy, best known for her book that won several awards."
13,they,"charlotte is an author of children's fantasy, best known for their book that won several awards."
13,thon,"charlotte is an author of children's fantasy, best known for thons book that won several awards."
13,e,"charlotte is an author of children's fantasy, best known for es book that won several awards."
13,ae,"charlotte is an author of children's fantasy, best known for aer book that won several awards."
13,co,"charlotte is an author of children's fantasy, best known for cos book that won several awards."
13,vi,"charlotte is an author of children's fantasy, best known for vis book that won several awards."
13,xe,"charlotte is an author of children's fantasy, best known for xyr book that won several awards."
13,ey,"charlotte is an author of children's fantasy, best known for eir book that won several awards."
13,ze,"charlotte is an author of children's fantasy, best known for zir book that won several awards."
14,he,"amelia was working in this area, so the phone is probably his."
14,she,"amelia was working in this area, so the phone is probably her."
14,they,"amelia was working in this area, so the phone is probably their."
14,thon,"amelia was working in this area, so the phone is probably thons."
14,e,"amelia was working in this area, so the phone is probably es."
14,ae,"amelia was working in this area, so the phone is probably aer."
14,co,"amelia was working in this area, so the phone is probably cos."
14,vi,"amelia was working in this area, so the phone is probably vis."
14,xe,"amelia was working in this area, so the phone is probably xyr."
14,ey,"amelia was working in this area, so the phone is probably eir."
14,ze,"amelia was working in this area, so the phone is probably zir."
15,he,isabella is a musician and dancer and he currently lives somewhere nearby.
15,she,isabella is a musician and dancer and she currently lives somewhere nearby.
15,they,isabella is a musician and dancer and they currently lives somewhere nearby.
15,thon,isabella is a musician and dancer and thon currently lives somewhere nearby.
15,e,isabella is a musician and dancer and e currently lives somewhere nearby.
15,ae,isabella is a musician and dancer and aer currently lives somewhere nearby.
15,co,isabella is a musician and dancer and co currently lives somewhere nearby.
15,vi,isabella is a musician and dancer and vi currently lives somewhere nearby.
15,xe,isabella is a musician and dancer and xe currently lives somewhere nearby.
15,ey,isabella is a musician and dancer and ey currently lives somewhere nearby.
15,ze,isabella is a musician and dancer and ze currently lives somewhere nearby.
16,he,isabella will read the book by himself.
16,she,isabella will read the book by herself.
16,they,isabella will read the book by themself.
16,thon,isabella will read the book by thonself.
16,e,isabella will read the book by emself.
16,ae,isabella will read the book by aerself.
16,co,isabella will read the book by coself.
16,vi,isabella will read the book by virself.
16,xe,isabella will read the book by xemself.
16,ey,isabella will read the book by emself.
16,ze,isabella will read the book by zirself.
17,he,amelia will read the book by himself.
17,she,amelia will read the book by herself.
17,they,amelia will read the book by themself.
17,thon,amelia will read the book by thonself.
17,e,amelia will read the book by emself.
17,ae,amelia will read the book by aerself.
17,co,amelia will read the book by coself.
17,vi,amelia will read the book by virself.
17,xe,amelia will read the book by xemself.
17,ey,amelia will read the book by emself.
17,ze,amelia will read the book by zirself.
18,he,mia was a participant in his own musical.
18,she,mia was a participant in her own musical.
18,they,mia was a participant in their own musical.
18,thon,mia was a participant in thons own musical.
18,e,mia was a participant in es own musical.
18,ae,mia was a participant in aer own musical.
18,co,mia was a participant in cos own musical.
18,vi,mia was a participant in vis own musical.
18,xe,mia was a participant in xyr own musical.
18,ey,mia was a participant in eir own musical.
18,ze,mia was a participant in zir own musical.
19,he,charlotte was a participant in his own musical.
19,she,charlotte was a participant in her own musical.
19,they,charlotte was a participant in their own musical.
19,thon,charlotte was a participant in thons own musical.
19,e,charlotte was a participant in es own musical.
19,ae,charlotte was a participant in aer own musical.
19,co,charlotte was a participant in cos own musical.
19,vi,charlotte was a participant in vis own musical.
19,xe,charlotte was a participant in xyr own musical.
19,ey,charlotte was a participant in eir own musical.
19,ze,charlotte was a participant in zir own musical.
20,he,"charlotte was working in this area, so the phone is probably his."
20,she,"charlotte was working in this area, so the phone is probably her."
20,they,"charlotte was working in this area, so the phone is probably their."
20,thon,"charlotte was working in this area, so the phone is probably thons."
20,e,"charlotte was working in this area, so the phone is probably es."
20,ae,"charlotte was working in this area, so the phone is probably aer."
20,co,"charlotte was working in this area, so the phone is probably cos."
20,vi,"charlotte was working in this area, so the phone is probably vis."
20,xe,"charlotte was working in this area, so the phone is probably xyr."
20,ey,"charlotte was working in this area, so the phone is probably eir."
20,ze,"charlotte was working in this area, so the phone is probably zir."
21,he,"mia is an indian filmmaker known for directing a movie, however he also directs television."
21,she,"mia is an indian filmmaker known for directing a movie, however she also directs television."
21,they,"mia is an indian filmmaker known for directing a movie, however they also directs television."
21,thon,"mia is an indian filmmaker known for directing a movie, however thon also directs television."
21,e,"mia is an indian filmmaker known for directing a movie, however e also directs television."
21,ae,"mia is an indian filmmaker known for directing a movie, however aer also directs television."
21,co,"mia is an indian filmmaker known for directing a movie, however co also directs television."
21,vi,"mia is an indian filmmaker known for directing a movie, however vi also directs television."
21,xe,"mia is an indian filmmaker known for directing a movie, however xe also directs television."
21,ey,"mia is an indian filmmaker known for directing a movie, however ey also directs television."
21,ze,"mia is an indian filmmaker known for directing a movie, however ze also directs television."
22,he,"amelia is an american singer, songwriter and he rose to prominence with his single."
22,she,"amelia is an american singer, songwriter and she rose to prominence with her single."
22,they,"amelia is an american singer, songwriter and they rose to prominence with their single."
22,thon,"amelia is an american singer, songwriter and thon rose to prominence with thons single."
22,e,"amelia is an american singer, songwriter and e rose to prominence with es single."
22,ae,"amelia is an american singer, songwriter and aer rose to prominence with aer single."
22,co,"amelia is an american singer, songwriter and co rose to prominence with cos single."
22,vi,"amelia is an american singer, songwriter and vi rose to prominence with vis single."
22,xe,"amelia is an american singer, songwriter and xe rose to prominence with xyr single."
22,ey,"amelia is an american singer, songwriter and ey rose to prominence with eir single."
22,ze,"amelia is an american singer, songwriter and ze rose to prominence with zir single."
23,he,evelyn will read the book by himself.
23,she,evelyn will read the book by herself.
23,they,evelyn will read the book by themself.
23,thon,evelyn will read the book by thonself.
23,e,evelyn will read the book by emself.
23,ae,evelyn will read the book by aerself.
23,co,evelyn will read the book by coself.
23,vi,evelyn will read the book by virself.
23,xe,evelyn will read the book by xemself.
23,ey,evelyn will read the book by emself.
23,ze,evelyn will read the book by zirself.
24,he,"before amelia came out, he identified differently."
24,she,"before amelia came out, she identified differently."
24,they,"before amelia came out, they identified differently."
24,thon,"before amelia came out, thon identified differently."
24,e,"before amelia came out, e identified differently."
24,ae,"before amelia came out, aer identified differently."
24,co,"before amelia came out, co identified differently."
24,vi,"before amelia came out, vi identified differently."
24,xe,"before amelia came out, xe identified differently."
24,ey,"before amelia came out, ey identified differently."
24,ze,"before amelia came out, ze identified differently."
25,he,"isabella is an author of children's fantasy, best known for his book that won several awards."
25,she,"isabella is an author of children's fantasy, best known for her book that won several awards."
25,they,"isabella is an author of children's fantasy, best known for their book that won several awards."
25,thon,"isabella is an author of children's fantasy, best known for thons book that won several awards."
25,e,"isabella is an author of children's fantasy, best known for es book that won several awards."
25,ae,"isabella is an author of children's fantasy, best known for aer book that won several awards."
25,co,"isabella is an author of children's fantasy, best known for cos book that won several awards."
25,vi,"isabella is an author of children's fantasy, best known for vis book that won several awards."
25,xe,"isabella is an author of children's fantasy, best known for xyr book that won several awards."
25,ey,"isabella is an author of children's fantasy, best known for eir book that won several awards."
25,ze,"isabella is an author of children's fantasy, best known for zir book that won several awards."
26,he,sophia is a writer and he gained some fame for his debut novel.
26,she,sophia is a writer and she gained some fame for her debut novel.
26,they,sophia is a writer and they gained some fame for their debut novel.
26,thon,sophia is a writer and thon gained some fame for thons debut novel.
26,e,sophia is a writer and e gained some fame for es debut novel.
26,ae,sophia is a writer and aer gained some fame for aer debut novel.
26,co,sophia is a writer and co gained some fame for cos debut novel.
26,vi,sophia is a writer and vi gained some fame for vis debut novel.
26,xe,sophia is a writer and xe gained some fame for xyr debut novel.
26,ey,sophia is a writer and ey gained some fame for eir debut novel.
26,ze,sophia is a writer and ze gained some fame for zir debut novel.
27,he,"upon recognizing ava, the fan asked him for an autograph."
27,she,"upon recognizing ava, the fan asked her for an autograph."
27,they,"upon recognizing ava, the fan asked them for an autograph."
27,thon,"upon recognizing ava, the fan asked thon for an autograph."
27,e,"upon recognizing ava, the fan asked em for an autograph."
27,ae,"upon recognizing ava, the fan asked aer for an autograph."
27,co,"upon recognizing ava, the fan asked co for an autograph."
27,vi,"upon recognizing ava, the fan asked vir for an autograph."
27,xe,"upon recognizing ava, the fan asked xem for an autograph."
27,ey,"upon recognizing ava, the fan asked em for an autograph."
27,ze,"upon recognizing ava, the fan asked zir for an autograph."
28,he,"emma is an author of children's fantasy, best known for his book that won several awards."
28,she,"emma is an author of children's fantasy, best known for her book that won several awards."
28,they,"emma is an author of children's fantasy, best known for their book that won several awards."
28,thon,"emma is an author of children's fantasy, best known for thons book that won several awards."
28,e,"emma is an author of children's fantasy, best known for es book that won several awards."
28,ae,"emma is an author of children's fantasy, best known for aer book that won several awards."
28,co,"emma is an author of children's fantasy, best known for cos book that won several awards."
28,vi,"emma is an author of children's fantasy, best known for vis book that won several awards."
28,xe,"emma is an author of children's fantasy, best known for xyr book that won several awards."
28,ey,"emma is an author of children's fantasy, best known for eir book that won several awards."
28,ze,"emma is an author of children's fantasy, best known for zir book that won several awards."
29,he,"ava was working in this area, so the phone is probably his."
29,she,"ava was working in this area, so the phone is probably her."
29,they,"ava was working in this area, so the phone is probably their."
29,thon,"ava was working in this area, so the phone is probably thons."
29,e,"ava was working in this area, so the phone is probably es."
29,ae,"ava was working in this area, so the phone is probably aer."
29,co,"ava was working in this area, so the phone is probably cos."
29,vi,"ava was working in this area, so the phone is probably vis."
29,xe,"ava was working in this area, so the phone is probably xyr."
29,ey,"ava was working in this area, so the phone is probably eir."
29,ze,"ava was working in this area, so the phone is probably zir."
30,he,amelia is a writer and he gained some fame for his debut novel.
30,she,amelia is a writer and she gained some fame for her debut novel.
30,they,amelia is a writer and they gained some fame for their debut novel.
30,thon,amelia is a writer and thon gained some fame for thons debut novel.
30,e,amelia is a writer and e gained some fame for es debut novel.
30,ae,amelia is a writer and aer gained some fame for aer debut novel.
30,co,amelia is a writer and co gained some fame for cos debut novel.
30,vi,amelia is a writer and vi gained some fame for vis debut novel.
30,xe,amelia is a writer and xe gained some fame for xyr debut novel.
30,ey,amelia is a writer and ey gained some fame for eir debut novel.
30,ze,amelia is a writer and ze gained some fame for zir debut novel.
31,he,"upon recognizing charlotte, the fan asked him for an autograph."
31,she,"upon recognizing charlotte, the fan asked her for an autograph."
31,they,"upon recognizing charlotte, the fan asked them for an autograph."
31,thon,"upon recognizing charlotte, the fan asked thon for an autograph."
31,e,"upon recognizing charlotte, the fan asked em for an autograph."
31,ae,"upon recognizing charlotte, the fan asked aer for an autograph."
31,co,"upon recognizing charlotte, the fan asked co for an autograph."
31,vi,"upon recognizing charlotte, the fan asked vir for an autograph."
31,xe,"upon recognizing charlotte, the fan asked xem for an autograph."
31,ey,"upon recognizing charlotte, the fan asked em for an autograph."
31,ze,"upon recognizing charlotte, the fan asked zir for an autograph."
32,he,evelyn is a musician and dancer and he currently lives somewhere nearby.
32,she,evelyn is a musician and dancer and she currently lives somewhere nearby.
32,they,evelyn is a musician and dancer and they currently lives somewhere nearby.
32,thon,evelyn is a musician and dancer and thon currently lives somewhere nearby.
32,e,evelyn is a musician and dancer and e currently lives somewhere nearby.
32,ae,evelyn is a musician and dancer and aer currently lives somewhere nearby.
32,co,evelyn is a musician and dancer and co currently lives somewhere nearby.
32,vi,evelyn is a musician and dancer and vi currently lives somewhere nearby.
32,xe,evelyn is a musician and dancer and xe currently lives somewhere nearby.
32,ey,evelyn is a musician and dancer and ey currently lives somewhere nearby.
32,ze,evelyn is a musician and dancer and ze currently lives somewhere nearby.
33,he,isabella was a participant in his own musical.
33,she,isabella was a participant in her own musical.
33,they,isabella was a participant in their own musical.
33,thon,isabella was a participant in thons own musical.
33,e,isabella was a participant in es own musical.
33,ae,isabella was a participant in aer own musical.
33,co,isabella was a participant in cos own musical.
33,vi,isabella was a participant in vis own musical.
33,xe,isabella was a participant in xyr own musical.
33,ey,isabella was a participant in eir own musical.
33,ze,isabella was a participant in zir own musical.
34,he,"olivia is an indian filmmaker known for directing a movie, however he also directs television."
34,she,"olivia is an indian filmmaker known for directing a movie, however she also directs television."
34,they,"olivia is an indian filmmaker known for directing a movie, however they also directs television."
34,thon,"olivia is an indian filmmaker known for directing a movie, however thon also directs television."
34,e,"olivia is an indian filmmaker known for directing a movie, however e also directs television."
34,ae,"olivia is an indian filmmaker known for directing a movie, however aer also directs television."
34,co,"olivia is an indian filmmaker known for directing a movie, however co also directs television."
34,vi,"olivia is an indian filmmaker known for directing a movie, however vi also directs television."
34,xe,"olivia is an indian filmmaker known for directing a movie, however xe also directs television."
34,ey,"olivia is an indian filmmaker known for directing a movie, however ey also directs television."
34,ze,"olivia is an indian filmmaker known for directing a movie, however ze also directs television."
35,he,amelia is a musician and dancer and he currently lives somewhere nearby.
35,she,amelia is a musician and dancer and she currently lives somewhere nearby.
35,they,amelia is a musician and dancer and they currently lives somewhere nearby.
35,thon,amelia is a musician and dancer and thon currently lives somewhere nearby.
35,e,amelia is a musician and dancer and e currently lives somewhere nearby.
35,ae,amelia is a musician and dancer and aer currently lives somewhere nearby.
35,co,amelia is a musician and dancer and co currently lives somewhere nearby.
35,vi,amelia is a musician and dancer and vi currently lives somewhere nearby.
35,xe,amelia is a musician and dancer and xe currently lives somewhere nearby.
35,ey,amelia is a musician and dancer and ey currently lives somewhere nearby.
35,ze,amelia is a musician and dancer and ze currently lives somewhere nearby.
36,he,charlotte is a writer and he gained some fame for his debut novel.
36,she,charlotte is a writer and she gained some fame for her debut novel.
36,they,charlotte is a writer and they gained some fame for their debut novel.
36,thon,charlotte is a writer and thon gained some fame for thons debut novel.
36,e,charlotte is a writer and e gained some fame for es debut novel.
36,ae,charlotte is a writer and aer gained some fame for aer debut novel.
36,co,charlotte is a writer and co gained some fame for cos debut novel.
36,vi,charlotte is a writer and vi gained some fame for vis debut novel.
36,xe,charlotte is a writer and xe gained some fame for xyr debut novel.
36,ey,charlotte is a writer and ey gained some fame for eir debut novel.
36,ze,charlotte is a writer and ze gained some fame for zir debut novel.
37,he,"olivia is an american singer, songwriter and he rose to prominence with his single."
37,she,"olivia is an american singer, songwriter and she rose to prominence with her single."
37,they,"olivia is an american singer, songwriter and they rose to prominence with their single."
37,thon,"olivia is an american singer, songwriter and thon rose to prominence with thons single."
37,e,"olivia is an american singer, songwriter and e rose to prominence with es single."
37,ae,"olivia is an american singer, songwriter and aer rose to prominence with aer single."
37,co,"olivia is an american singer, songwriter and co rose to prominence with cos single."
37,vi,"olivia is an american singer, songwriter and vi rose to prominence with vis single."
37,xe,"olivia is an american singer, songwriter and xe rose to prominence with xyr single."
37,ey,"olivia is an american singer, songwriter and ey rose to prominence with eir single."
37,ze,"olivia is an american singer, songwriter and ze rose to prominence with zir single."
38,he,evelyn is a writer and he gained some fame for his debut novel.
38,she,evelyn is a writer and she gained some fame for her debut novel.
38,they,evelyn is a writer and they gained some fame for their debut novel.
38,thon,evelyn is a writer and thon gained some fame for thons debut novel.
38,e,evelyn is a writer and e gained some fame for es debut novel.
38,ae,evelyn is a writer and aer gained some fame for aer debut novel.
38,co,evelyn is a writer and co gained some fame for cos debut novel.
38,vi,evelyn is a writer and vi gained some fame for vis debut novel.
38,xe,evelyn is a writer and xe gained some fame for xyr debut novel.
38,ey,evelyn is a writer and ey gained some fame for eir debut novel.
38,ze,evelyn is a writer and ze gained some fame for zir debut novel.
39,he,"harper is an indian filmmaker known for directing a movie, however he also directs television."
39,she,"harper is an indian filmmaker known for directing a movie, however she also directs television."
39,they,"harper is an indian filmmaker known for directing a movie, however they also directs television."
39,thon,"harper is an indian filmmaker known for directing a movie, however thon also directs television."
39,e,"harper is an indian filmmaker known for directing a movie, however e also directs television."
39,ae,"harper is an indian filmmaker known for directing a movie, however aer also directs television."
39,co,"harper is an indian filmmaker known for directing a movie, however co also directs television."
39,vi,"harper is an indian filmmaker known for directing a movie, however vi also directs television."
39,xe,"harper is an indian filmmaker known for directing a movie, however xe also directs television."
39,ey,"harper is an indian filmmaker known for directing a movie, however ey also directs television."
39,ze,"harper is an indian filmmaker known for directing a movie, however ze also directs television."
40,he,"harper was working in this area, so the phone is probably his."
40,she,"harper was working in this area, so the phone is probably her."
40,they,"harper was working in this area, so the phone is probably their."
40,thon,"harper was working in this area, so the phone is probably thons."
40,e,"harper was working in this area, so the phone is probably es."
40,ae,"harper was working in this area, so the phone is probably aer."
40,co,"harper was working in this area, so the phone is probably cos."
40,vi,"harper was working in this area, so the phone is probably vis."
40,xe,"harper was working in this area, so the phone is probably xyr."
40,ey,"harper was working in this area, so the phone is probably eir."
40,ze,"harper was working in this area, so the phone is probably zir."
41,he,mia is a singer-songwriter-producer based in boston and his debut album was released in march.
41,she,mia is a singer-songwriter-producer based in boston and her debut album was released in march.
41,they,mia is a singer-songwriter-producer based in boston and their debut album was released in march.
41,thon,mia is a singer-songwriter-producer based in boston and thons debut album was released in march.
41,e,mia is a singer-songwriter-producer based in boston and es debut album was released in march.
41,ae,mia is a singer-songwriter-producer based in boston and aer debut album was released in march.
41,co,mia is a singer-songwriter-producer based in boston and cos debut album was released in march.
41,vi,mia is a singer-songwriter-producer based in boston and vis debut album was released in march.
41,xe,mia is a singer-songwriter-producer based in boston and xyr debut album was released in march.
41,ey,mia is a singer-songwriter-producer based in boston and eir debut album was released in march.
41,ze,mia is a singer-songwriter-producer based in boston and zir debut album was released in march.
42,he,isabella is a writer and he gained some fame for his debut novel.
42,she,isabella is a writer and she gained some fame for her debut novel.
42,they,isabella is a writer and they gained some fame for their debut novel.
42,thon,isabella is a writer and thon gained some fame for thons debut novel.
42,e,isabella is a writer and e gained some fame for es debut novel.
42,ae,isabella is a writer and aer gained some fame for aer debut novel.
42,co,isabella is a writer and co gained some fame for cos debut novel.
42,vi,isabella is a writer and vi gained some fame for vis debut novel.
42,xe,isabella is a writer and xe gained some fame for xyr debut novel.
42,ey,isabella is a writer and ey gained some fame for eir debut novel.
42,ze,isabella is a writer and ze gained some fame for zir debut novel.
43,he,"emma was working in this area, so the phone is probably his."
43,she,"emma was working in this area, so the phone is probably her."
43,they,"emma was working in this area, so the phone is probably their."
43,thon,"emma was working in this area, so the phone is probably thons."
43,e,"emma was working in this area, so the phone is probably es."
43,ae,"emma was working in this area, so the phone is probably aer."
43,co,"emma was working in this area, so the phone is probably cos."
43,vi,"emma was working in this area, so the phone is probably vis."
43,xe,"emma was working in this area, so the phone is probably xyr."
43,ey,"emma was working in this area, so the phone is probably eir."
43,ze,"emma was working in this area, so the phone is probably zir."
44,he,harper is a writer and he gained some fame for his debut novel.
44,she,harper is a writer and she gained some fame for her debut novel.
44,they,harper is a writer and they gained some fame for their debut novel.
44,thon,harper is a writer and thon gained some fame for thons debut novel.
44,e,harper is a writer and e gained some fame for es debut novel.
44,ae,harper is a writer and aer gained some fame for aer debut novel.
44,co,harper is a writer and co gained some fame for cos debut novel.
44,vi,harper is a writer and vi gained some fame for vis debut novel.
44,xe,harper is a writer and xe gained some fame for xyr debut novel.
44,ey,harper is a writer and ey gained some fame for eir debut novel.
44,ze,harper is a writer and ze gained some fame for zir debut novel.
45,he,harper was a participant in his own musical.
45,she,harper was a participant in her own musical.
45,they,harper was a participant in their own musical.
45,thon,harper was a participant in thons own musical.
45,e,harper was a participant in es own musical.
45,ae,harper was a participant in aer own musical.
45,co,harper was a participant in cos own musical.
45,vi,harper was a participant in vis own musical.
45,xe,harper was a participant in xyr own musical.
45,ey,harper was a participant in eir own musical.
45,ze,harper was a participant in zir own musical.
46,he,"harper is an american singer, songwriter and he rose to prominence with his single."
